batter,runs,rank
"AN Ghosh",0,563
"A Uniyal",0,563
"S Ladda",0,563
"DE Bollinger",0,563
"SB Wagh",0,563
"AC Blizzard",0,563
"P Parameswaran",0,563
"IC Pandey",0,563
"P Awana",0,563
"BR Dunk",0,563
"VS Malik",0,563
"S Kaushik",0,563
"JR Philippe",0,563
"SS Cottrell",0,563
"KR Sen",0,563
"RP Meredith",0,563
"R Sanjay Yadav",0,563
"KM Asif",0,563
"Mayank Dagar",0,563
"Saurav Chauhan",0,563
"KS Rathore",0,563
"LG Pretorius",0,563
"VRV Singh",0,563
"S Sohal",0,563
"SJ Srivastava",0,563
"L Ablish",0,563
"BA Bhatt",0,563
"KJ Abbott",0,563
"GC Viljoen",0,563
"RA Bawa",0,563
"Sunny Gupta",0,563
"LE Plunkett",0,563
"S Lamichhane",0,563
