pp,wk,ve,tot
23,1,9,124.17774399749177
23,1,10,124.20058111995986
23,1,11,124.22341824242797
23,1,12,124.24625536489606
23,1,13,124.26909248736416
23,1,14,124.29192960983227
23,1,15,124.31476673230037
23,1,16,124.33760385476847
23,1,17,124.36044097723656
23,1,18,124.38327809970467
23,1,19,124.40611522217277
23,1,20,124.42895234464086
23,1,21,124.45178946710897
23,1,22,124.47462658957707
23,1,23,124.49746371204517
23,1,24,124.52030083451328
23,1,25,124.54313795698137
23,1,26,124.56597507944947
23,1,27,124.58881220191758
23,1,28,124.61164932438567
23,1,29,124.63448644685377
23,1,30,124.65732356932187
23,1,31,124.68016069178998
23,1,32,124.70299781425807
23,1,33,124.72583493672617
23,1,34,124.74867205919428
23,1,35,124.77150918166237
23,1,36,124.79434630413047
23,1,37,124.81718342659858
23,1,38,124.84002054906668
23,1,39,124.86285767153478
23,1,40,124.88569479400287
23,1,41,124.90853191647098
23,1,42,124.93136903893908
23,1,43,124.95420616140717
23,1,44,124.97704328387528
23,2,0,121.96695413980852
23,2,1,121.98979126227661
23,2,2,122.01262838474472
23,2,3,122.03546550721282
23,2,4,122.05830262968092
23,2,5,122.08113975214903
23,2,6,122.10397687461712
23,2,7,122.12681399708522
23,2,8,122.14965111955333
23,2,9,122.17248824202142
23,2,10,122.19532536448952
23,2,11,122.21816248695762
23,2,12,122.24099960942573
23,2,13,122.26383673189382
23,2,14,122.28667385436192
23,2,15,122.30951097683003
23,2,16,122.33234809929812
23,2,17,122.35518522176622
23,2,18,122.37802234423432
23,2,19,122.40085946670243
23,2,20,122.42369658917053
23,2,21,122.44653371163862
23,2,22,122.46937083410673
23,2,23,122.49220795657483
23,2,24,122.51504507904292
23,2,25,122.53788220151102
23,2,26,122.56071932397913
23,2,27,122.58355644644723
23,2,28,122.60639356891534
23,2,29,122.62923069138343
23,2,30,122.65206781385153
23,2,31,122.67490493631962
23,2,32,122.69774205878772
23,2,33,122.72057918125583
23,2,34,122.74341630372393
23,2,35,122.76625342619204
23,2,36,122.78909054866013
23,2,37,122.81192767112823
23,2,38,122.83476479359634
23,2,39,122.85760191606443
23,2,40,122.88043903853253
23,2,41,122.90327616100063
23,2,42,122.92611328346874
23,2,43,122.94895040593684
23,2,44,122.97178752840493
23,3,0,119.96169838433818
23,3,1,119.98453550680627
23,3,2,120.00737262927437
23,3,3,120.03020975174248
23,3,4,120.05304687421057
23,3,5,120.07588399667867
23,3,6,120.09872111914677
23,3,7,120.12155824161488
23,3,8,120.14439536408298
23,3,9,120.16723248655107
23,3,10,120.19006960901918
23,3,11,120.21290673148727
23,3,12,120.23574385395537
23,3,13,120.25858097642347
23,3,14,120.28141809889158
23,3,15,120.30425522135968
23,3,16,120.32709234382777
23,3,17,120.34992946629588
23,3,18,120.37276658876398
23,3,19,120.39560371123207
23,3,20,120.41844083370017
23,3,21,120.44127795616828
23,3,22,120.46411507863638
23,3,23,120.48695220110449
23,3,24,120.50978932357258
23,3,25,120.53262644604068
23,3,26,120.55546356850878
23,3,27,120.57830069097687
23,3,28,120.60113781344498
23,3,29,120.62397493591308
23,3,30,120.64681205838119
23,3,31,120.66964918084928
23,3,32,120.69248630331738
23,3,33,120.71532342578548
23,3,34,120.73816054825357
23,3,35,120.76099767072168
23,3,36,120.78383479318978
23,3,37,120.80667191565789
23,3,38,120.82950903812599
23,3,39,120.85234616059408
23,3,40,120.87518328306219
23,3,41,120.89802040553029
23,3,42,120.92085752799838
23,3,43,120.94369465046648
23,3,44,120.96653177293459
23,4,0,117.95644262886782
23,4,1,117.97927975133592
23,4,2,118.00211687380403
