pp,wk,ve,tot
20,3,34,116.43022588602035
20,3,35,116.45306300848844
20,3,36,116.47590013095655
20,3,37,116.49873725342465
20,3,38,116.52157437589275
20,3,39,116.54441149836086
20,3,40,116.56724862082895
20,3,41,116.59008574329705
20,3,42,116.61292286576516
20,3,43,116.63575998823325
20,3,44,116.65859711070135
20,4,0,113.64850796663458
20,4,1,113.67134508910269
20,4,2,113.69418221157079
20,4,3,113.7170193340389
20,4,4,113.739856456507
20,4,5,113.76269357897509
20,4,6,113.7855307014432
20,4,7,113.8083678239113
20,4,8,113.83120494637939
20,4,9,113.85404206884749
20,4,10,113.8768791913156
20,4,11,113.8997163137837
20,4,12,113.92255343625179
20,4,13,113.9453905587199
20,4,14,113.968227681188
20,4,15,113.99106480365609
20,4,16,114.01390192612419
20,4,17,114.0367390485923
20,4,18,114.0595761710604
20,4,19,114.0824132935285
20,4,20,114.1052504159966
20,4,21,114.1280875384647
20,4,22,114.1509246609328
20,4,23,114.17376178340089
20,4,24,114.196598905869
20,4,25,114.2194360283371
20,4,26,114.2422731508052
20,4,27,114.26511027327331
20,4,28,114.2879473957414
20,4,29,114.3107845182095
20,4,30,114.33362164067759
20,4,31,114.3564587631457
20,4,32,114.3792958856138
20,4,33,114.4021330080819
20,4,34,114.42497013055001
20,4,35,114.4478072530181
20,4,36,114.4706443754862
20,4,37,114.4934814979543
20,4,38,114.5163186204224
20,4,39,114.5391557428905
20,4,40,114.5619928653586
20,4,41,114.58482998782671
20,4,42,114.60766711029481
20,4,43,114.6305042327629
20,4,44,114.653341355231
20,5,0,111.64325221116425
20,5,1,111.66608933363234
20,5,2,111.68892645610045
20,5,3,111.71176357856855
20,5,4,111.73460070103664
20,5,5,111.75743782350474
20,5,6,111.78027494597285
20,5,7,111.80311206844095
20,5,8,111.82594919090906
20,5,9,111.84878631337715
20,5,10,111.87162343584525
20,5,11,111.89446055831334
20,5,12,111.91729768078145
20,5,13,111.94013480324955
20,5,14,111.96297192571765
20,5,15,111.98580904818576
20,5,16,112.00864617065385
20,5,17,112.03148329312195
20,5,18,112.05432041559006
20,5,19,112.07715753805815
20,5,20,112.09999466052625
20,5,21,112.12283178299435
20,5,22,112.14566890546246
20,5,23,112.16850602793056
20,5,24,112.19134315039865
20,5,25,112.21418027286676
20,5,26,112.23701739533486
20,5,27,112.25985451780295
20,5,28,112.28269164027105
20,5,29,112.30552876273916
20,5,30,112.32836588520726
20,5,31,112.35120300767535
20,5,32,112.37404013014346
20,5,33,112.39687725261156
20,5,34,112.41971437507965
20,5,35,112.44255149754775
20,5,36,112.46538862001586
20,5,37,112.48822574248396
20,5,38,112.51106286495207
